Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,46.59,46.62,43.50,43.86,43.86,3436100
16/01/2024,43.30,43.67,42.31,43.51,43.51,2866500
17/01/2024,42.65,43.06,42.30,42.86,42.86,1250300
18/01/2024,42.80,42.92,40.71,40.95,40.95,2873600
19/01/2024,41.21,42.27,40.38,41.73,41.73,2089800
22/01/2024,40.79,40.92,39.46,40.21,40.21,3238300
23/01/2024,38.91,39.66,38.62,39.22,39.22,2824500
24/01/2024,40.05,40.26,39.54,39.60,39.60,2370400
25/01/2024,40.07,40.13,39.57,39.87,39.87,1243000
26/01/2024,41.24,42.26,41.14,42.02,42.02,2409900
29/01/2024,42.03,43.36,41.80,43.21,43.21,2511000
30/01/2024,43.44,43.78,43.25,43.61,43.61,2015900
31/01/2024,42.75,43.79,42.52,42.55,42.55,1622100
01/02/2024,42.41,43.30,42.38,43.06,43.06,1761400
02/02/2024,42.74,43.50,42.71,42.95,42.95,2138400
05/02/2024,43.37,43.42,42.30,42.38,42.38,1180200
06/02/2024,42.89,43.41,42.85,43.12,43.12,1404700
07/02/2024,43.17,44.31,42.91,44.17,44.17,1979900
08/02/2024,45.13,45.69,44.92,45.60,45.60,2144000
09/02/2024,47.06,48.27,46.83,47.60,47.60,2419300
12/02/2024,48.26,50.50,48.21,50.31,50.31,2134700
13/02/2024,49.07,49.59,48.42,49.47,49.47,3147900
14/02/2024,51.77,52.20,51.33,51.82,51.82,3894500
15/02/2024,52.58,52.96,51.69,51.84,51.84,3357500
16/02/2024,52.35,52.56,51.71,51.97,51.97,1884000
20/02/2024,52.44,52.44,50.82,52.08,52.08,2734300
21/02/2024,51.00,51.48,50.69,51.02,51.02,3819100
22/02/2024,51.15,52.15,51.06,52.11,52.11,1260500
23/02/2024,51.27,51.37,50.66,51.14,51.14,1352100
26/02/2024,51.46,55.04,51.43,54.53,54.53,5198500
27/02/2024,56.98,57.75,56.33,57.14,57.14,3591900
28/02/2024,60.34,64.41,59.14,60.50,60.50,7308200
29/02/2024,63.46,63.74,60.44,62.28,62.28,3167100
01/03/2024,62.51,63.41,61.25,63.18,63.18,1892700
04/03/2024,65.49,68.10,65.45,67.79,67.79,4169900
05/03/2024,67.82,69.52,59.60,62.04,62.04,8501800
06/03/2024,66.95,67.69,65.40,67.10,67.10,2842400
07/03/2024,67.48,68.23,66.78,67.78,67.78,3522500
08/03/2024,68.25,70.48,66.25,69.39,69.39,3950500
11/03/2024,72.45,73.01,71.46,72.20,72.20,4907900
12/03/2024,72.38,73.28,68.73,71.40,71.40,7426100
13/03/2024,72.79,73.62,71.76,73.61,73.61,3734700
14/03/2024,72.72,72.81,68.41,69.42,69.42,5872900
15/03/2024,67.85,70.73,67.44,69.15,69.15,3185500
18/03/2024,67.97,68.57,66.57,66.86,66.86,3185400
19/03/2024,63.74,65.81,62.25,64.41,64.41,4962500
20/03/2024,63.44,66.11,62.08,65.92,65.92,5531800
21/03/2024,67.70,67.72,64.91,65.22,65.22,3427400
22/03/2024,64.18,64.34,62.65,64.00,64.00,2928600
25/03/2024,67.03,71.24,67.01,71.13,71.13,4198700
26/03/2024,70.89,71.04,69.37,69.53,69.53,2508600
27/03/2024,71.70,71.84,68.44,68.70,68.70,2850900
28/03/2024,71.17,71.79,70.53,70.98,70.98,3175600
01/04/2024,70.15,70.20,68.11,69.78,69.78,1958600
02/04/2024,64.93,66.34,64.55,65.97,65.97,1976500
03/04/2024,65.76,66.99,65.57,65.87,65.87,1206300
04/04/2024,67.38,69.43,67.17,68.54,68.54,1844700
05/04/2024,66.97,68.66,66.87,67.43,67.43,1813500
08/04/2024,72.24,72.26,71.25,71.79,71.79,2078800
09/04/2024,70.74,71.02,68.23,68.98,68.98,2484900
10/04/2024,67.65,70.15,67.45,70.15,70.15,2062800
11/04/2024,70.80,70.92,69.55,70.51,70.51,1929800
12/04/2024,70.14,70.30,65.19,66.89,66.89,3576400
15/04/2024,66.30,66.55,62.33,63.31,63.31,2752000
16/04/2024,63.24,63.37,61.70,62.72,62.72,1577000
17/04/2024,62.41,62.99,59.62,61.05,61.05,2840200
18/04/2024,62.41,64.20,61.91,63.56,63.56,2348700
19/04/2024,64.75,65.15,63.60,64.42,64.42,1794100
22/04/2024,66.16,66.87,65.71,66.60,66.60,1607000
23/04/2024,66.13,67.19,66.13,66.55,66.55,932100
24/04/2024,66.01,66.33,63.68,63.91,63.91,2697900
25/04/2024,63.17,64.93,62.85,64.76,64.76,1246200
26/04/2024,63.76,64.77,63.28,63.72,63.72,880000
29/04/2024,62.51,63.19,61.69,62.97,62.97,1287300
30/04/2024,61.12,61.46,58.91,59.08,59.08,2405000
01/05/2024,57.63,59.41,56.53,56.87,56.87,2522600
02/05/2024,58.75,59.60,58.21,59.38,59.38,1725700
03/05/2024,61.30,62.28,61.20,62.14,62.14,1404500
06/05/2024,63.62,64.24,62.74,63.24,63.24,1062500
07/05/2024,63.50,64.35,62.77,63.05,63.05,1042300
08/05/2024,62.01,62.80,61.75,62.14,62.14,633400
09/05/2024,61.32,62.73,60.85,62.50,62.50,1122000
10/05/2024,62.89,63.15,60.14,60.64,60.64,1858700
13/05/2024,62.79,63.48,62.57,63.19,63.19,1195400
14/05/2024,61.97,62.25,61.10,61.57,61.57,729600
15/05/2024,64.31,66.46,63.96,66.06,66.06,2317600
16/05/2024,66.00,66.46,64.59,65.22,65.22,1081400
17/05/2024,66.38,67.55,65.85,67.14,67.14,1104300
20/05/2024,67.04,70.21,66.76,70.20,70.20,1873900
21/05/2024,70.98,71.32,69.15,69.31,69.31,1418600
22/05/2024,69.75,70.72,69.19,69.65,69.65,949900
23/05/2024,69.25,69.41,66.68,67.13,67.13,1562400
