Date,Open,High,Low,Close,Adj Close,Volume
28/05/2015,0.34,0.36,0.34,0.36,0.36,100100
29/05/2015,0.35,0.36,0.35,0.36,0.36,45500
01/06/2015,0.36,0.36,0.34,0.34,0.34,91000
02/06/2015,0.34,0.34,0.31,0.32,0.32,127400
03/06/2015,0.33,0.33,0.32,0.32,0.32,36400
04/06/2015,0.32,0.32,0.32,0.32,0.32,172900
05/06/2015,0.32,0.32,0.32,0.32,0.32,81900
08/06/2015,0.32,0.32,0.32,0.32,0.32,127400
09/06/2015,0.32,0.32,0.31,0.32,0.32,63700
10/06/2015,0.32,0.32,0.32,0.32,0.32,72800
11/06/2015,0.32,0.32,0.32,0.32,0.32,118300
12/06/2015,0.32,0.32,0.32,0.32,0.32,109200
15/06/2015,0.32,0.32,0.32,0.32,0.32,109200
16/06/2015,0.32,0.32,0.31,0.32,0.32,436800
17/06/2015,0.32,0.33,0.32,0.32,0.32,1920100
18/06/2015,0.32,0.32,0.32,0.32,0.32,154700
19/06/2015,0.32,0.32,0.31,0.31,0.31,163800
22/06/2015,0.32,0.32,0.31,0.31,0.31,209300
23/06/2015,0.31,0.31,0.31,0.31,0.31,218400
24/06/2015,0.32,0.32,0.31,0.31,0.31,182000
25/06/2015,0.31,0.31,0.31,0.31,0.31,18200
26/06/2015,0.32,0.32,0.32,0.32,0.32,273000
29/06/2015,0.33,0.33,0.32,0.32,0.32,2065700
30/06/2015,0.32,0.34,0.32,0.33,0.33,218400
01/07/2015,0.33,0.34,0.32,0.33,0.33,318500
02/07/2015,0.33,0.33,0.33,0.33,0.33,209300
06/07/2015,0.34,0.34,0.33,0.34,0.34,436800
07/07/2015,0.34,0.34,0.32,0.34,0.34,564200
08/07/2015,0.34,0.34,0.34,0.34,0.34,673400
09/07/2015,0.34,0.35,0.33,0.33,0.33,555100
10/07/2015,0.34,0.34,0.34,0.34,0.34,2457000
13/07/2015,0.34,0.34,0.33,0.33,0.33,518700
14/07/2015,0.34,0.34,0.33,0.34,0.34,864500
15/07/2015,0.34,0.34,0.33,0.34,0.34,1310400
16/07/2015,0.33,0.34,0.32,0.34,0.34,482300
17/07/2015,0.34,0.34,0.33,0.33,0.33,282100
20/07/2015,0.33,0.33,0.33,0.33,0.33,300300
21/07/2015,0.34,0.34,0.33,0.33,0.33,491400
22/07/2015,0.33,0.34,0.33,0.34,0.34,318500
23/07/2015,0.34,0.34,0.34,0.34,0.34,91000
24/07/2015,0.34,0.34,0.33,0.34,0.34,127400
27/07/2015,0.34,0.34,0.34,0.34,0.34,464100
28/07/2015,0.34,0.34,0.33,0.34,0.34,354900
29/07/2015,0.34,0.34,0.33,0.33,0.33,618800
30/07/2015,0.34,0.34,0.34,0.34,0.34,27300
31/07/2015,0.33,0.33,0.33,0.33,0.33,18200
03/08/2015,0.34,0.34,0.33,0.33,0.33,109200
04/08/2015,0.33,0.33,0.33,0.33,0.33,54600
05/08/2015,0.33,0.33,0.32,0.32,0.32,63700
06/08/2015,0.33,0.33,0.33,0.33,0.33,118300
07/08/2015,0.33,0.33,0.32,0.33,0.33,118300
10/08/2015,0.33,0.33,0.33,0.33,0.33,9100
11/08/2015,0.32,0.34,0.32,0.33,0.33,72800
12/08/2015,0.34,0.34,0.32,0.32,0.32,91000
13/08/2015,0.33,0.34,0.33,0.33,0.33,100100
14/08/2015,0.33,0.33,0.33,0.33,0.33,91000
17/08/2015,0.33,0.33,0.32,0.32,0.32,81900
18/08/2015,0.32,0.32,0.32,0.32,0.32,145600
19/08/2015,0.32,0.33,0.32,0.32,0.32,536900
20/08/2015,0.33,0.33,0.32,0.32,0.32,218400
21/08/2015,0.32,0.32,0.28,0.30,0.30,273000
24/08/2015,0.30,0.30,0.23,0.26,0.26,318500
25/08/2015,0.27,0.28,0.26,0.26,0.26,182000
26/08/2015,0.26,0.27,0.25,0.25,0.25,100100
27/08/2015,0.26,0.26,0.26,0.26,0.26,145600
28/08/2015,0.26,0.27,0.26,0.27,0.27,172900
31/08/2015,0.29,0.29,0.29,0.29,0.29,145600
01/09/2015,0.29,0.30,0.29,0.29,0.29,172900
02/09/2015,0.29,0.30,0.29,0.30,0.30,54600
03/09/2015,0.31,0.32,0.29,0.32,0.32,154700
