Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,13.2,13.2,12.38,12.47,12.47,171600
16/01/2024,12.24,12.36,11.99,12.29,12.29,239100
17/01/2024,12.17,12.18,12,12.16,12.16,63400
18/01/2024,12.07,12.16,11.57,11.59,11.59,122400
19/01/2024,11.7,11.96,11.45,11.82,11.82,277700
22/01/2024,11.6,11.61,11.2,11.41,11.41,363700
23/01/2024,11.03,11.23,10.94,11.12,11.12,70400
24/01/2024,11.36,11.42,11.22,11.23,11.23,122000
25/01/2024,11.37,11.39,11.24,11.31,11.31,47400
26/01/2024,11.69,11.98,11.68,11.92,11.92,145400
29/01/2024,11.93,12.29,11.86,12.25,12.25,295400
30/01/2024,12.32,12.4,12.28,12.36,12.36,161300
31/01/2024,12.12,12.4,12.05,12.06,12.06,121300
01/02/2024,12,12.27,12,12.19,12.19,131600
02/02/2024,12.11,12.32,12.09,12.18,12.18,261600
05/02/2024,12.29,12.31,11.99,12.02,12.02,153700
06/02/2024,12.15,12.31,12.15,12.22,12.22,223500
07/02/2024,12.24,12.56,12.19,12.52,12.52,294700
08/02/2024,12.8,12.95,12.77,12.91,12.91,154400
09/02/2024,13.34,13.69,13.3,13.48,13.48,354400
12/02/2024,13.69,14.31,13.69,14.25,14.25,313100
13/02/2024,13.92,14.05,13.73,14.02,14.02,109800
14/02/2024,14.7,14.78,14.54,14.68,14.68,162600
15/02/2024,14.91,15,14.65,14.69,14.69,296800
16/02/2024,14.84,14.87,14.66,14.72,14.72,95800
20/02/2024,14.85,14.85,14.39,14.76,14.76,345500
21/02/2024,14.46,14.59,14.37,14.46,14.46,241300
22/02/2024,14.51,14.77,14.47,14.75,14.75,210900
23/02/2024,14.53,14.55,14.36,14.48,14.48,354100
26/02/2024,14.59,15.59,14.59,15.47,15.47,451000
27/02/2024,16.17,16.34,15.99,16.18,16.18,317600
28/02/2024,17.13,18.26,16.77,17.14,17.14,866500
29/02/2024,18.02,18.05,17.14,17.58,17.58,185000
01/03/2024,17.72,17.95,17.38,17.88,17.88,193900
04/03/2024,18.6,19.3,18.58,19.23,19.23,277000
05/03/2024,19.25,19.72,16.85,17.58,17.58,895900
06/03/2024,19,19.2,18.58,19.04,19.04,349300
07/03/2024,19.13,19.32,18.93,19.22,19.22,410000
08/03/2024,19.35,19.96,18.79,19.66,19.66,853900
11/03/2024,20.56,20.7,20.27,20.47,20.47,530100
12/03/2024,20.54,20.78,19.5,20.27,20.27,1044800
13/03/2024,20.63,20.88,20.4,20.86,20.86,1186700
14/03/2024,20.64,20.64,19.44,19.67,19.67,2462900
15/03/2024,19.22,20.04,19.16,19.59,19.59,605600
18/03/2024,19.3,19.43,18.9,18.98,18.98,1111000
19/03/2024,18.1,18.64,17.67,18.26,18.26,876700
20/03/2024,18.01,18.74,17.62,18.69,18.69,1115600
21/03/2024,19.2,19.21,18.41,18.51,18.51,1597800
22/03/2024,18.23,18.23,17.78,18.14,18.14,2831300
25/03/2024,19.01,20.2,19.01,20.17,20.17,890900
26/03/2024,20.14,20.14,19.68,19.72,19.72,1749200
27/03/2024,20.36,20.37,19.42,19.48,19.48,790600
28/03/2024,20.17,20.36,20,20.13,20.13,560300
01/04/2024,19.9,19.9,19.33,19.79,19.79,561800
02/04/2024,18.4,18.81,18.32,18.71,18.71,781800
03/04/2024,18.67,18.96,18.59,18.68,18.68,311500
04/04/2024,19.1,19.67,19.07,19.45,19.45,648800
05/04/2024,19,19.45,18.98,19.12,19.12,379300
08/04/2024,20.49,20.49,20.22,20.36,20.36,306500
09/04/2024,20.05,20.13,19.37,19.56,19.56,591100
10/04/2024,19.2,19.88,19.15,19.88,19.88,325500
11/04/2024,20.08,20.1,19.73,19.99,19.99,253600
12/04/2024,19.89,19.94,18.48,18.97,18.97,941300
15/04/2024,18.81,18.87,17.7,17.96,17.96,503400
16/04/2024,17.94,17.95,17.51,17.8,17.8,402500
17/04/2024,17.7,17.86,16.92,17.3,17.3,951700
18/04/2024,17.7,18.21,17.6,18.01,18.01,439100
19/04/2024,18.36,18.46,18.04,18.26,18.26,430400
22/04/2024,18.75,18.97,18.65,18.87,18.87,349900
23/04/2024,18.78,19.05,18.75,18.87,18.87,287900
24/04/2024,18.74,18.82,18.07,18.13,18.13,1163300
25/04/2024,17.89,18.4,17.82,18.34,18.34,634400
26/04/2024,18.07,18.38,17.93,18.07,18.07,579400
29/04/2024,17.72,17.91,17.5,17.84,17.84,235200
30/04/2024,17.33,17.43,16.71,16.73,16.73,656000
01/05/2024,16.31,16.82,16.04,16.13,16.13,658400
02/05/2024,16.67,16.9,16.53,16.84,16.84,2800200
03/05/2024,17.38,17.67,17.37,17.63,17.63,571200
06/05/2024,18.02,18.22,17.81,17.91,17.91,292400
07/05/2024,18.01,18.25,17.81,17.89,17.89,432500
08/05/2024,17.56,17.8,17.52,17.62,17.62,285000
09/05/2024,17.4,17.78,17.26,17.71,17.71,473800
10/05/2024,17.84,17.9,17.07,17.21,17.21,1271300
13/05/2024,17.8,18.01,17.75,17.91,17.91,361700
14/05/2024,17.57,17.65,17.32,17.46,17.46,126300
15/05/2024,18.23,18.85,18.14,18.73,18.73,975800
16/05/2024,18.71,18.85,18.32,18.48,18.48,364300
17/05/2024,18.82,19.16,18.68,19.01,19.01,173400
20/05/2024,19.02,19.89,18.94,19.88,19.88,286600
21/05/2024,20.11,20.23,19.6,19.65,19.65,125500
22/05/2024,19.78,20.03,19.65,19.76,19.76,133700
23/05/2024,19.64,19.67,18.92,19.04,19.04,196000
