Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,46.2,46.29,43.42,43.86,43.86,1040000
16/01/2024,43.02,43.49,42.21,43.42,43.42,862100
17/01/2024,42.72,42.91,42.29,42.81,42.81,908800
18/01/2024,42.68,42.83,40.65,40.85,40.85,1648900
19/01/2024,41.18,42.09,40.3,41.56,41.56,1742400
22/01/2024,40.68,40.82,39.39,40.2,40.2,211000
23/01/2024,38.84,39.59,38.56,39.17,39.17,123900
24/01/2024,40,40.19,39.51,39.56,39.56,56900
25/01/2024,40.04,40.06,39.52,39.78,39.78,152800
26/01/2024,41.19,42.19,41.11,41.98,41.98,289100
29/01/2024,42.02,43.31,41.8,43.15,43.15,332300
30/01/2024,43.44,43.74,43.24,43.57,43.57,923300
31/01/2024,42.69,43.74,42.49,42.49,42.49,316500
01/02/2024,42.38,43.26,42.34,43.02,43.02,328800
02/02/2024,42.72,43.46,42.67,42.95,42.95,552800
05/02/2024,43.44,43.44,42.28,42.39,42.39,273400
06/02/2024,42.97,43.39,42.84,43.13,43.13,368300
07/02/2024,43.18,44.28,42.92,44.18,44.18,495400
08/02/2024,45.13,45.62,45,45.59,45.59,392100
09/02/2024,47.03,48.27,46.86,47.59,47.59,827000
12/02/2024,48.27,50.42,48.19,50.27,50.27,661000
13/02/2024,49.13,49.53,48.43,49.49,49.49,152600
14/02/2024,51.87,52.15,51.33,51.79,51.79,1078200
15/02/2024,52.56,52.9,51.74,51.83,51.83,170500
16/02/2024,52.33,52.5,51.64,51.95,51.95,218700
20/02/2024,52.36,52.4,50.79,52.01,52.01,595300
21/02/2024,50.97,51.46,50.7,51,51,647000
22/02/2024,51.16,52.14,51.05,52.04,52.04,253900
23/02/2024,51.26,51.35,50.64,51.13,51.13,397700
26/02/2024,51.46,55,51.44,54.52,54.52,1105600
27/02/2024,56.98,57.68,56.31,57.1,57.1,743900
28/02/2024,60.28,64.41,59.11,60.4,60.4,2691900
29/02/2024,63.44,63.65,60.43,62.07,62.07,772900
01/03/2024,62.54,63.29,61.25,63.09,63.09,367300
04/03/2024,65.52,68.04,65.47,67.75,67.75,763600
05/03/2024,67.78,69.43,59.68,61.97,61.97,1956900
06/03/2024,67,67.61,65.4,67.09,67.09,527200
07/03/2024,67.45,68.17,66.68,67.79,67.79,483400
08/03/2024,68.17,70.39,66.18,69.38,69.38,1692600
11/03/2024,72.44,72.96,71.39,72.15,72.15,893200
12/03/2024,72.45,73.23,68.75,71.44,71.44,2106600
13/03/2024,72.82,73.61,71.75,73.61,73.61,1023600
14/03/2024,72.67,72.77,68.47,69.34,69.34,1500200
15/03/2024,67.89,70.54,67.43,69.14,69.14,907900
18/03/2024,67.95,68.56,66.53,66.91,66.91,516700
19/03/2024,63.81,65.8,62.25,64.37,64.37,520600
20/03/2024,63.48,66.1,62.09,65.93,65.93,1023900
21/03/2024,67.74,67.74,64.99,65.3,65.3,630300
22/03/2024,64.3,64.38,62.71,63.98,63.98,711500
25/03/2024,67.11,71.25,67.11,71.17,71.17,1028800
26/03/2024,71.01,71.08,69.41,69.57,69.57,607000
27/03/2024,71.75,71.91,68.49,68.71,68.71,595900
28/03/2024,71.23,71.83,70.59,71.01,71.01,421200
01/04/2024,70.17,70.21,68.2,69.8,69.8,271700
02/04/2024,64.94,66.36,64.56,65.96,65.96,307800
03/04/2024,65.84,67,65.63,65.87,65.87,245000
04/04/2024,67.41,69.39,67.19,68.58,68.58,383800
05/04/2024,67,68.64,66.89,67.41,67.41,324400
08/04/2024,72.25,72.25,71.28,71.8,71.8,427800
09/04/2024,70.77,70.98,68.28,69.02,69.02,382100
10/04/2024,67.72,70.09,67.56,70.09,70.09,286500
11/04/2024,70.8,70.92,69.55,70.51,70.51,294600
12/04/2024,70.25,70.29,65.22,66.89,66.89,818100
15/04/2024,66.32,66.53,62.44,63.33,63.33,295900
16/04/2024,63.26,63.38,61.76,62.75,62.75,293700
17/04/2024,62.36,62.98,59.71,61.02,61.02,568700
18/04/2024,62.51,64.1,62.05,63.55,63.55,230000
19/04/2024,64.87,65.19,63.64,64.36,64.36,218800
22/04/2024,66.17,66.95,65.78,66.57,66.57,248000
23/04/2024,66.23,67.2,66.2,66.52,66.52,142400
24/04/2024,66.1,66.36,63.79,63.86,63.86,334400
25/04/2024,63.17,64.91,62.84,64.75,64.75,198700
26/04/2024,63.81,64.77,63.32,63.77,63.77,297800
29/04/2024,62.54,63.19,61.72,62.92,62.92,110500
30/04/2024,61.2,61.43,58.93,59.02,59.02,438600
01/05/2024,57.64,59.4,56.58,56.91,56.91,406300
02/05/2024,58.82,59.6,58.32,59.47,59.47,437000
03/05/2024,61.34,62.33,61.28,62.23,62.23,562400
06/05/2024,63.7,64.27,62.81,63.19,63.19,206500
07/05/2024,63.62,64.37,62.86,63.11,63.11,149800
08/05/2024,62.06,62.75,61.78,62.17,62.17,65000
09/05/2024,61.34,62.74,60.91,62.55,62.55,97800
10/05/2024,62.94,63.18,60.2,60.7,60.7,260200
13/05/2024,62.87,63.5,62.63,63.2,63.2,277000
14/05/2024,62.01,62.24,61.13,61.61,61.61,100400
15/05/2024,64.36,66.56,64.04,66.12,66.12,330400
16/05/2024,66.1,66.5,64.68,65.26,65.26,177600
17/05/2024,66.47,67.59,65.93,67.15,67.15,139800
20/05/2024,67.1,70.21,66.83,70.15,70.15,113000
21/05/2024,71,71.33,69.19,69.3,69.3,166600
22/05/2024,69.8,70.71,69.29,69.78,69.78,155500
23/05/2024,69.29,69.29,66.76,67.2,67.2,111400
