Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,40.74,40.81,37.95,38.35,38.35,11359300
16/01/2024,37.90,38.14,36.91,38.10,38.10,8479200
17/01/2024,37.45,37.69,37.03,37.40,37.40,7913000
18/01/2024,37.40,37.52,35.60,35.76,35.76,10271800
19/01/2024,36.08,36.92,35.28,36.49,36.49,13809200
22/01/2024,35.61,35.77,34.49,35.18,35.18,11640300
23/01/2024,33.95,34.69,33.77,34.34,34.34,10426500
24/01/2024,35.00,35.20,34.58,34.60,34.60,7558400
25/01/2024,35.05,35.10,34.61,34.81,34.81,6420800
26/01/2024,36.05,36.97,35.99,36.75,36.75,9170600
29/01/2024,36.78,37.94,36.60,37.82,37.82,8468300
30/01/2024,38.03,38.30,37.86,38.13,38.13,7622200
31/01/2024,37.38,38.31,37.19,37.24,37.24,6036500
01/02/2024,37.08,37.88,37.06,37.66,37.66,4569500
02/02/2024,37.39,38.06,37.37,37.58,37.58,4965100
05/02/2024,37.95,37.98,37.01,37.07,37.07,3112800
06/02/2024,37.54,37.99,37.50,37.73,37.73,3485900
07/02/2024,37.77,38.76,37.55,38.66,38.66,5326400
08/02/2024,39.45,39.97,39.28,39.88,39.88,6192800
09/02/2024,41.15,42.25,40.99,41.64,41.64,9931400
12/02/2024,42.21,44.18,42.18,44.02,44.02,10984400
13/02/2024,42.94,43.37,42.34,43.29,43.29,7508000
14/02/2024,45.30,45.66,44.88,45.32,45.32,10127000
15/02/2024,45.99,46.31,45.22,45.32,45.32,8284400
16/02/2024,45.77,45.97,45.23,45.43,45.43,5270700
20/02/2024,45.81,45.86,44.43,45.52,45.52,7629400
21/02/2024,44.60,45.03,44.36,44.62,44.62,7084100
22/02/2024,44.74,45.60,44.67,45.56,45.56,5628000
23/02/2024,44.85,44.94,44.32,44.75,44.75,5043800
26/02/2024,45.00,48.15,44.98,47.72,47.72,12383100
27/02/2024,49.86,50.48,49.28,49.93,49.93,11636500
28/02/2024,52.72,56.36,51.72,52.84,52.84,27106800
29/02/2024,55.48,55.76,52.85,54.33,54.33,18719000
01/03/2024,54.68,55.46,53.57,55.19,55.19,14596900
04/03/2024,57.34,59.58,57.30,59.27,59.27,18891300
05/03/2024,59.32,60.83,52.13,54.18,54.18,37918500
06/03/2024,58.55,59.20,57.21,58.63,58.63,19354800
07/03/2024,59.02,59.72,58.40,59.25,59.25,19018400
08/03/2024,59.69,61.64,57.91,60.73,60.73,27887800
11/03/2024,63.38,63.87,62.48,63.09,63.09,22552500
12/03/2024,63.33,64.08,60.12,62.50,62.50,26079300
13/03/2024,63.74,64.42,62.78,64.40,64.40,16266200
14/03/2024,63.59,63.67,59.85,60.63,60.63,20022200
15/03/2024,59.34,61.85,59.01,60.48,60.48,19648000
18/03/2024,59.43,60.00,58.21,58.53,58.53,10788900
19/03/2024,55.82,57.58,54.44,56.35,56.35,17171600
20/03/2024,55.51,57.81,54.32,57.59,57.59,18122400
21/03/2024,59.19,59.23,56.76,57.05,57.05,12246800
22/03/2024,56.18,56.29,54.80,55.91,55.91,9232000
25/03/2024,58.59,62.28,58.58,62.20,62.20,20329900
26/03/2024,62.06,62.14,60.66,60.80,60.80,9752400
27/03/2024,62.74,62.83,59.88,60.04,60.04,9846300
28/03/2024,62.25,62.81,61.71,62.06,62.06,10605800
01/04/2024,61.34,61.40,59.58,61.03,61.03,9116300
02/04/2024,56.81,58.05,56.46,57.66,57.66,11730500
03/04/2024,57.57,58.59,57.33,57.59,57.59,8566200
04/04/2024,58.90,60.74,58.75,59.93,59.93,9555500
05/04/2024,58.58,60.05,58.47,58.94,58.94,7142400
08/04/2024,63.17,63.21,62.31,62.83,62.83,7785200
09/04/2024,61.87,62.11,59.68,60.31,60.31,8102600
10/04/2024,59.22,61.34,59.02,61.33,61.33,9814500
11/04/2024,61.92,62.06,60.85,61.69,61.69,7879000
12/04/2024,61.41,61.52,57.01,58.51,58.51,13379700
15/04/2024,57.98,58.23,54.52,55.36,55.36,10387300
16/04/2024,55.32,55.43,53.97,54.89,54.89,7728000
17/04/2024,54.59,55.10,52.16,53.30,53.30,9862700
18/04/2024,54.63,56.17,54.13,55.59,55.59,8162300
19/04/2024,56.72,57.01,55.62,56.32,56.32,5927200
22/04/2024,57.86,58.53,57.47,58.23,58.23,6580400
23/04/2024,57.89,58.77,57.83,58.19,58.19,4001300
24/04/2024,57.78,58.03,55.70,55.90,55.90,8738500
25/04/2024,55.21,56.78,54.95,56.61,56.61,5595300
26/04/2024,55.80,56.67,55.34,55.75,55.75,5531400
29/04/2024,54.67,55.27,53.96,55.08,55.08,4100300
30/04/2024,53.49,53.76,51.52,51.68,51.68,9484200
01/05/2024,50.43,51.92,49.43,49.72,49.72,10785800
02/05/2024,51.36,52.15,50.92,51.93,51.93,6578200
03/05/2024,53.55,54.50,53.51,54.38,54.38,6741600
06/05/2024,55.64,56.21,54.86,55.29,55.29,5373100
07/05/2024,55.61,56.31,54.93,55.16,55.16,3769500
08/05/2024,54.26,54.96,54.00,54.36,54.36,3043900
09/05/2024,53.69,54.88,53.21,54.66,54.66,4555800
10/05/2024,55.00,55.25,52.61,53.05,53.05,7052500
13/05/2024,54.95,55.56,54.73,55.26,55.26,4618300
14/05/2024,54.23,54.48,53.43,53.86,53.86,3528300
15/05/2024,56.28,58.19,55.96,57.85,57.85,11333900
16/05/2024,57.77,58.17,56.52,57.02,57.02,4932600
17/05/2024,58.11,59.12,57.61,58.79,58.79,5365900
20/05/2024,58.65,61.45,58.42,61.42,61.42,8622500
21/05/2024,62.11,62.43,60.52,60.60,60.60,7238800
22/05/2024,61.07,61.91,60.58,61.09,61.09,6111100
23/05/2024,60.62,60.73,58.37,58.72,58.72,5591900
