Date,Open,High,Low,Close,Adj Close,Volume
12/01/2024,52.65,52.68,49.26,49.62,49.62,331100
16/01/2024,49.05,49.35,47.95,49.20,49.20,175400
17/01/2024,48.42,48.82,48.11,48.58,48.58,131800
18/01/2024,48.40,48.55,46.23,46.42,46.42,220600
19/01/2024,46.82,47.90,45.75,47.21,47.21,200300
22/01/2024,46.24,46.39,45.00,45.68,45.68,133200
23/01/2024,44.30,44.93,43.77,44.41,44.41,171700
24/01/2024,45.43,45.58,44.84,44.84,44.84,47900
25/01/2024,45.35,45.43,44.78,45.06,45.06,100400
26/01/2024,46.70,47.75,46.66,47.55,47.55,82300
29/01/2024,47.56,49.02,47.33,48.93,48.93,343100
30/01/2024,49.19,49.54,48.99,49.36,49.36,55100
31/01/2024,48.41,49.53,48.11,48.17,48.17,167400
01/02/2024,48.00,48.98,47.96,48.75,48.75,94400
02/02/2024,48.37,49.20,48.35,48.68,48.68,120800
05/02/2024,49.17,49.17,47.87,48.06,48.06,126900
06/02/2024,48.59,49.13,48.51,48.77,48.77,202100
07/02/2024,48.86,50.15,48.62,50.02,50.02,386300
08/02/2024,51.05,51.66,50.87,51.59,51.59,183300
09/02/2024,53.30,54.62,53.02,53.87,53.87,198300
12/02/2024,54.62,57.06,54.62,56.92,56.92,168700
13/02/2024,55.57,56.07,54.75,55.99,55.99,108800
14/02/2024,58.70,58.99,58.12,58.64,58.64,119000
15/02/2024,59.49,59.93,58.51,58.57,58.57,142300
16/02/2024,59.26,59.28,58.44,58.80,58.80,104600
20/02/2024,59.23,59.31,57.48,58.85,58.85,6816000
21/02/2024,57.67,58.24,57.38,57.65,57.65,301100
22/02/2024,57.89,58.99,57.76,58.95,58.95,542900
23/02/2024,58.03,58.08,57.31,57.86,57.86,126000
26/02/2024,58.19,62.22,58.19,61.73,61.73,390800
27/02/2024,64.49,65.23,63.76,64.61,64.61,303400
28/02/2024,68.24,72.79,66.93,68.39,68.39,770200
29/02/2024,71.89,72.12,68.37,70.22,70.22,359900
01/03/2024,70.73,71.65,69.30,71.45,71.45,358400
04/03/2024,74.20,77.06,74.08,76.74,76.74,359100
05/03/2024,76.70,78.59,67.50,70.14,70.14,879300
06/03/2024,75.81,76.53,73.98,75.96,75.96,406900
07/03/2024,76.44,77.12,75.65,76.72,76.72,473600
08/03/2024,77.10,79.35,74.96,78.58,78.58,510900
11/03/2024,82.04,82.67,80.94,81.77,81.77,1916800
12/03/2024,82.00,82.91,77.91,80.98,80.98,3096300
13/03/2024,82.63,83.36,81.28,83.36,83.36,616900
14/03/2024,82.46,82.46,77.50,78.48,78.48,777900
15/03/2024,76.75,80.03,76.39,78.29,78.29,559900
18/03/2024,77.00,77.61,75.34,75.77,75.77,449000
19/03/2024,72.25,74.50,70.50,72.86,72.86,729400
20/03/2024,71.79,74.79,70.30,74.60,74.60,500400
21/03/2024,76.57,76.62,73.42,73.85,73.85,465600
22/03/2024,72.73,72.81,70.94,72.37,72.37,303900
25/03/2024,75.89,80.60,75.87,80.54,80.54,631000
26/03/2024,80.34,80.39,78.50,78.71,78.71,350900
27/03/2024,81.17,81.27,77.44,77.75,77.75,455900
28/03/2024,80.56,81.28,79.84,80.34,80.34,469500
01/04/2024,79.38,79.42,77.11,78.97,78.97,291300
02/04/2024,73.46,75.00,73.05,74.61,74.61,399200
03/04/2024,74.47,75.74,74.23,74.52,74.52,233000
04/04/2024,76.24,78.56,76.02,77.52,77.52,427400
05/04/2024,75.69,77.59,75.69,76.25,76.25,209800
08/04/2024,81.72,81.72,80.61,81.21,81.21,276300
09/04/2024,80.04,80.30,77.17,78.06,78.06,256300
10/04/2024,76.52,79.29,76.35,79.27,79.27,183300
11/04/2024,80.07,80.25,78.72,79.75,79.75,171700
12/04/2024,79.47,79.54,73.79,75.75,75.75,491600
15/04/2024,75.02,75.29,70.55,71.68,71.68,246200
16/04/2024,71.57,71.64,69.89,71.01,71.01,213800
17/04/2024,70.62,71.24,67.47,69.02,69.02,308800
18/04/2024,70.68,72.56,70.10,71.92,71.92,245000
19/04/2024,73.37,73.66,71.93,72.77,72.77,200200
22/04/2024,74.87,75.69,74.39,75.38,75.38,225300
23/04/2024,74.92,75.99,74.88,75.28,75.28,97500
24/04/2024,74.76,75.06,72.09,72.31,72.31,279300
25/04/2024,71.42,73.46,71.20,73.26,73.26,162200
26/04/2024,72.23,73.26,71.67,72.13,72.13,107200
29/04/2024,70.75,71.49,69.92,71.21,71.21,91800
30/04/2024,69.23,69.50,66.70,66.83,66.83,350200
01/05/2024,65.25,67.13,63.98,64.39,64.39,245500
02/05/2024,66.44,67.42,65.97,67.19,67.19,113300
03/05/2024,69.39,70.50,69.31,70.37,70.37,175300
06/05/2024,72.04,72.70,70.97,71.49,71.49,88900
07/05/2024,71.96,72.78,71.19,71.39,71.39,84500
08/05/2024,70.21,71.05,69.89,70.34,70.34,43700
09/05/2024,69.48,70.89,68.90,70.59,70.59,76000
10/05/2024,71.16,71.39,68.14,68.67,68.67,118000
13/05/2024,71.07,71.81,70.82,71.48,71.48,118400
14/05/2024,70.16,70.39,69.17,69.69,69.69,70500
15/05/2024,72.79,75.25,72.44,74.78,74.78,217200
16/05/2024,74.74,75.18,73.14,73.79,73.79,85900
17/05/2024,75.05,76.36,74.67,75.95,75.95,160900
20/05/2024,75.87,79.43,75.61,79.38,79.38,125300
21/05/2024,80.32,80.68,78.30,78.31,78.31,181700
22/05/2024,78.99,80.00,78.41,78.88,78.88,299900
23/05/2024,78.47,78.53,75.49,75.94,75.94,175600
