Date,Open,High,Low,Close,Adj Close,Volume
16/01/2024,24.70,24.86,24.04,24.72,24.72,15078200
17/01/2024,24.35,24.56,24.15,24.41,24.41,13964500
18/01/2024,24.35,24.47,23.20,23.34,23.34,17823200
19/01/2024,23.49,24.12,23.03,23.80,23.80,18265500
22/01/2024,23.20,23.33,22.50,22.95,22.95,17222100
23/01/2024,22.19,22.63,22.02,22.32,22.32,13431700
24/01/2024,22.82,22.97,22.57,22.60,22.60,11929100
25/01/2024,22.86,22.90,22.58,22.76,22.76,8954900
26/01/2024,23.52,24.12,23.48,23.99,23.99,20273800
29/01/2024,23.99,24.77,23.88,24.67,24.67,19012900
30/01/2024,24.84,24.98,24.68,24.88,24.88,15541300
31/01/2024,24.38,25.00,24.26,24.30,24.30,13369300
01/02/2024,24.21,24.72,24.19,24.54,24.54,12411400
02/02/2024,24.39,24.83,24.38,24.50,24.50,10289300
05/02/2024,24.75,24.79,24.13,24.19,24.19,6807500
06/02/2024,24.47,24.77,24.45,24.60,24.60,7352900
07/02/2024,24.66,25.29,24.49,25.22,25.22,13952200
08/02/2024,25.75,26.08,25.64,26.03,26.03,18568500
09/02/2024,26.85,27.57,26.75,27.15,27.15,20742800
12/02/2024,27.53,28.86,27.51,28.66,28.66,35138600
13/02/2024,27.97,28.28,27.62,28.22,28.22,20913600
14/02/2024,29.58,29.83,29.24,29.55,29.55,28134500
15/02/2024,30.00,30.23,29.48,29.52,29.52,22844700
16/02/2024,29.86,29.97,29.49,29.62,29.62,15893600
20/02/2024,29.88,29.92,28.97,29.67,29.67,21166400
21/02/2024,29.06,29.35,28.91,29.08,29.08,17767600
22/02/2024,29.17,29.76,29.14,29.72,29.72,15468400
23/02/2024,29.26,29.31,28.91,29.16,29.16,13285800
26/02/2024,29.34,31.43,29.33,31.12,31.12,42806400
27/02/2024,32.53,32.96,32.17,32.59,32.59,42006400
28/02/2024,34.41,36.87,33.80,34.45,34.45,96833400
29/02/2024,36.21,36.38,34.47,35.42,35.42,53837500
01/03/2024,35.65,36.17,34.93,35.99,35.99,34919100
