Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-01,61168.06,63155.1,60802.53,62440.63,62440.63,40186368423,46899.474,79.0730715999079,0.38970646396876435
2024-03-02,62431.65,62458.7,61657.29,62029.85,62029.85,23888473685,47283.0076,79.46147274824071,0.40613945663693746
2024-03-03,62031.58,63230.21,61435.02,63167.37,63167.37,26253811450,47689.5074,80.22354568878515,0.49814318029261917
2024-03-04,63137.0,68537.03,62386.52,68330.41,68330.41,70670471105,48220.190200000005,85.83843152743151,0.7680900600079008
2024-03-05,68341.05,69170.63,59323.91,63801.2,63801.2,102802940877,48645.974799999996,71.23608426043462,0.08599639473454793
2024-03-06,63776.05,67637.93,62848.67,66106.8,66106.8,68750229073,49105.01180000001,74.6206714229705,0.29784760004622474
2024-03-07,66099.74,68029.92,65655.53,66925.48,66925.48,46989543159,49588.668399999995,76.69319379958883,0.42757283459833045
2024-03-08,66938.09,70083.05,66230.45,68300.09,68300.09,59202881172,50129.429,79.2208759938977,0.5857878527951099
2024-03-09,68299.26,68673.05,68053.13,68498.88,68498.88,21609650379,50667.0384,78.76860347416671,0.5574787935707133
2024-03-10,68500.26,70005.2,68239.98,69019.79,69019.79,35683977532,51214.12239999999,79.02439106293454,0.5333599222162354
2024-03-11,69020.55,72850.71,67194.88,72123.91,72123.91,65716656765,51825.6848,79.24391687332255,0.5483935196491743
2024-03-12,72125.13,72825.66,68728.85,71481.29,71481.29,62554434520,52465.1632,75.54827223436105,0.2953078635290715
2024-03-13,71482.12,73637.48,71334.09,73083.5,73083.5,48212536929,53129.9222,71.71617724039534,0.032877794999834425
2024-03-14,73079.38,73750.07,68563.02,71396.59,71396.59,59594605698,53756.3126,70.61306329523286,0.0
2024-03-15,71387.88,72357.13,65630.7,69403.77,69403.77,78320453976,54345.7118,63.65974022101537,0.0
2024-03-16,69392.48,70046.27,64801.39,65315.12,65315.12,46842198371,54815.676799999994,55.63208002279391,0.0
2024-03-17,65316.34,68845.72,64545.32,68390.63,68390.63,44716864318,55341.0884,58.39653057130217,0.09151884987115497
2024-03-18,68371.3,68897.13,66594.23,67548.59,67548.59,49261579492,55851.348399999995,48.540437327407105,0.0
2024-03-19,67556.13,68106.93,61536.18,61912.77,61912.77,74215844794,56223.8388,46.6144172189396,0.0
2024-03-20,61930.16,68115.26,60807.79,67913.67,67913.67,66792634382,56723.06,52.860366400197044,0.19142031742489374
2024-03-21,67911.59,68199.99,64580.92,65491.39,65491.39,44480350565,57181.23559999999,47.83945734913535,0.03754394468721796
2024-03-22,65489.93,66623.75,62355.37,63778.76,63778.76,41401116964,57595.2954,43.25702189421353,0.0
2024-03-23,63802.72,65976.4,63038.49,64062.2,64062.2,24738964812,58012.822199999995,43.39993085568175,0.003971138981320384
2024-03-24,64070.75,67622.76,63825.85,67234.17,67234.17,27206630673,58497.6606,47.53788547324577,0.11895618061845442
2024-03-25,67234.09,71162.59,66414.84,69958.81,69958.81,42700139523,59045.165199999996,46.983064696826624,0.1153886196218462
2024-03-26,69931.33,71535.74,69335.61,69987.84,69987.84,36010437368,59591.748600000006,47.88276340169866,0.16253966258720107
2024-03-27,69991.9,71727.69,68381.93,69455.34,69455.34,40827113309,60119.162000000004,44.69553912759209,0.05258499255396507
2024-03-28,69452.77,71546.02,68895.51,70744.95,70744.95,34374900617,60647.6966,49.036087976275844,0.2832498096329987
2024-03-29,70744.8,70913.09,69076.66,69892.83,69892.83,25230851763,61139.521799999995,50.74868789025734,0.4948420821199641
2024-03-30,69893.45,70355.49,69601.06,69645.3,69645.3,17130241883,61589.4838,57.51245141398237,0.9416045014289187
2024-03-31,69647.78,71377.78,69624.87,71333.65,71333.65,20050941373,62060.7312,55.36404151809178,0.8492918159420407
2024-04-01,71333.48,71342.09,68110.7,69702.15,69702.15,34873527352,62488.8958,53.81534898619249,0.7406530316983511
2024-04-02,69705.02,69708.38,64586.59,65446.97,65446.97,50705240709,62798.6708,56.58341802748563,0.934829505823841
2024-04-03,65446.67,66914.32,64559.9,65980.81,65980.81,34488018367,63123.438200000004,45.478609678207135,0.15584151855353076
2024-04-04,65975.7,69291.26,65113.8,68508.84,68508.84,34439527442,63457.081,57.02373841791366,0.9657174134675508
