Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-01,3341.97,3452.63,3341.85,3435.05,3435.05,16880101987,2618.2352,83.65673710471886,0.3006908646356101
2024-03-02,3436.16,3459.75,3398.9,3422.05,3422.05,12024340617,2636.187,84.01683227685456,0.3293830822609919
2024-03-03,3422.88,3491.17,3372.21,3490.99,3490.99,13643324467,2654.4748,83.60625130418546,0.29666817927911254
2024-03-04,3489.34,3641.46,3446.02,3630.43,3630.43,26772963830,2677.6385999999998,84.85183681753603,0.3969855945174261
2024-03-05,3631.93,3828.16,3224.12,3554.96,3554.96,47706899137,2698.5106,77.32052394695947,0.0
2024-03-06,3554.07,3901.43,3502.8,3819.23,3819.23,34938642613,2723.1414,85.01736698375507,0.7948869313762859
2024-03-07,3818.31,3939.59,3738.69,3874.35,3874.35,22457177587,2750.061,85.66172406714355,1.0
2024-03-08,3874.83,3998.83,3828.36,3892.06,3892.06,26135487051,2778.5618,89.29063082030936,1.0
2024-03-09,3892.12,3950.4,3880.66,3915.42,3915.42,11926623780,2807.0801999999994,88.86343923942977,0.964311798933835
2024-03-10,3915.59,3968.72,3800.56,3881.19,3881.19,15783924355,2835.3122,84.88537836488268,0.6319788534858882
2024-03-11,3881.24,4087.05,3745.13,4066.45,4066.45,28806262507,2867.563,86.35879451336427,0.7550701645385895
2024-03-12,4066.69,4092.28,3831.89,3980.27,3980.27,26917010932,2900.9518,79.64176073871744,0.19391947092184644
2024-03-13,3980.27,4083.01,3936.63,4006.46,4006.46,22028114691,2936.2672000000002,77.5628729752771,0.02024618751376369
2024-03-14,4005.75,4011.1,3721.79,3883.14,3883.14,25434810823,2969.2588,72.44571257941972,0.0
2024-03-15,3882.86,3928.78,3571.77,3735.22,3735.22,33505075433,2999.6089999999995,61.90763323045674,0.0
2024-03-16,3736.1,3780.89,3468.08,3522.86,3522.86,20199855932,3024.7222,53.45294121676702,0.0
2024-03-17,3523.03,3676.26,3414.17,3642.41,3642.41,19938757095,3052.2125999999994,55.01264582422967,0.04352134930340157
2024-03-18,3642.3,3642.5,3456.09,3517.99,3517.99,21162220224,3077.4282000000003,46.24037021185534,0.0
2024-03-19,3518.35,3546.58,3149.29,3157.62,3157.62,34166976701,3094.2394,38.84039409973823,0.0
2024-03-20,3158.4,3534.83,3059.65,3513.39,3513.39,36605316331,3117.6174,41.83014916442278,0.059261467517861405
2024-03-21,3514.02,3586.91,3412.22,3492.99,3492.99,22213647922,3141.8264,39.62025867700213,0.015458095500786877
2024-03-22,3492.9,3541.9,3254.97,3333.69,3333.69,20574952329,3162.4238,35.88998448421383,0.0
2024-03-23,3335.59,3433.76,3273.12,3336.59,3336.59,13242137554,3182.9948,35.220128997993015,0.0
2024-03-24,3336.67,3470.34,3301.28,3454.64,3454.64,12156660941,3206.1668,39.55553161376891,0.08477739049472777
2024-03-25,3454.89,3657.12,3421.79,3590.88,3590.88,18603921705,3232.1933999999997,38.06881187373619,0.06412828084231731
2024-03-26,3591.09,3678.79,3545.43,3587.5,3587.5,18505553577,3257.9656,39.718977892020085,0.10624840223960448
2024-03-27,3587.31,3664.38,3460.39,3500.12,3500.12,18753082145,3280.5239999999994,37.15759678597516,0.05204667332465465
2024-03-28,3500.22,3609.71,3465.33,3561.29,3561.29,16419674157,3303.2747999999997,41.57112103959229,0.2379762448477172
2024-03-29,3561.01,3583.7,3475.73,3511.81,3511.81,12712701619,3325.1128,43.83107738696797,0.4350608093236739
2024-03-30,3511.83,3566.08,3489.9,3507.94,3507.94,9389066783,3345.5212,49.534413460818335,0.723216990971584
2024-03-31,3507.95,3655.22,3507.24,3647.86,3647.86,10499881424,3368.4538000000002,50.1679351677811,1.0
2024-04-01,3647.82,3648.13,3418.7,3505.03,3505.03,16002098681,3388.4030000000002,49.60513326752223,0.9623488628454128
2024-04-02,3504.82,3506.96,3215.99,3277.23,3277.23,22076539151,3400.7852,53.964560587077145,1.0
2024-04-03,3277.32,3368.11,3205.65,3311.44,3311.44,16010734587,3414.1702,41.49275862940528,0.3346396289266594
2024-04-04,3311.5,3443.21,3253.32,3330.04,3330.04,14476330517,3425.2129999999997,43.12522676837141,0.421730460740242
2024-04-05,3330.01,3345.67,3214.24,3318.89,3318.89,15214447092,3435.1031999999996,49.286389322841316,0.7504234128411675
2024-04-06,3318.86,3397.59,3308.98,3354.18,3354.18,8956926798,3446.1130000000003,50.82244686123603,0.8130469153723593
2024-04-07,3354.21,3458.51,3346.11,3453.49,3453.49,9931108526,3459.4494,49.94527093267848,0.7608556963670542
2024-04-08,3453.5,3727.62,3409.51,3695.29,3695.29,19055143129,3475.7752,54.515261332479945,1.0
2024-04-09,3695.34,3724.92,3455.11,3505.16,3505.16,18279773833,3487.0069999999996,46.93433809403249,0.5632521173492789
2024-04-10,3505.16,3561.52,3415.18,3543.74,3543.74,16872482726,3497.6118,51.68528907227965,0.782685991723225
2024-04-11,3543.45,3616.19,3477.17,3505.25,3505.25,14076734489,3508.3096,47.796234250389325,0.4840448694624398
2024-04-12,3505.33,3552.59,3103.43,3243.03,3243.03,22104869556,3513.75,40.94529039213045,0.0
2024-04-13,3242.94,3299.66,2862.39,3004.9,3004.9,29930408174,3515.4148,35.363639537725646,0.0
2024-04-14,3005.55,3174.67,2914.42,3156.94,3156.94,25486284994,3518.7058,35.81631591720695,0.023636451488682455
2024-04-15,3156.83,3277.56,3026.54,3101.6,3101.6,21925843181,3518.4838,37.72343572171943,0.12321651969130593
