Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-25,58.59,62.28,58.58,62.2,62.2,20329900,47.196400000000004,63.99162595952546,0.5629474487734463
2024-03-26,62.06,62.14,60.66,60.8,60.8,9752400,47.6454,54.236626317844575,0.2898665393307086
2024-03-27,62.74,62.83,59.88,60.04,60.04,9846300,48.0842,51.53398058252427,0.2142088271408153
2024-03-28,62.25,62.81,61.71,62.06,62.06,10605800,48.5774,52.529478889311534,0.24207675055975744
2024-04-01,61.34,61.4,59.58,61.03,61.03,9116300,49.0828,45.87339743589744,0.05574678199093631
2024-04-02,56.81,58.05,56.46,57.66,57.66,11730500,49.5062,41.27613554434031,0.0
2024-04-03,57.57,58.59,57.33,57.59,57.59,8566200,49.95439999999999,36.858355847163274,0.0
2024-04-04,58.9,60.74,58.75,59.93,59.93,9555500,50.4662,48.57026143790849,0.3537902125288344
2024-04-05,58.58,60.05,58.47,58.94,58.94,7142400,50.953,46.95892575039495,0.37225774340519885
2024-04-08,63.17,63.21,62.31,62.83,62.83,7785200,51.51339999999999,57.887013939838575,0.7750137748083096
2024-04-09,61.87,62.11,59.68,60.31,60.31,8102600,51.9846,57.17391304347825,0.748732353755584
2024-04-10,59.22,61.34,59.02,61.33,61.33,9814500,52.454800000000006,56.82980277574871,0.7360501276064859
2024-04-11,61.92,62.06,60.85,61.69,61.69,7879000,52.926,58.529411764705884,0.7986894254839215
2024-04-12,61.41,61.52,57.01,58.51,58.51,13379700,53.351400000000005,54.44596443228454,0.6481934728946726
2024-04-15,57.98,58.23,54.52,55.36,55.36,10387300,53.7054,36.89655172413792,0.0017625295749307804
2024-04-16,55.32,55.43,53.97,54.89,54.89,7728000,54.0516,38.25983313468415,0.06467046612096033
2024-04-17,54.59,55.1,52.16,53.3,53.3,9862700,54.3762,37.038461538461526,0.008310886741446552
2024-04-18,54.63,56.17,54.13,55.59,55.59,8162300,54.73339999999999,37.685572896840505,0.03817151563009915
2024-04-19,56.72,57.01,55.62,56.32,56.32,5927200,55.0866,40.93184443588756,0.18796908670365342
2024-04-22,57.86,58.53,57.47,58.23,58.23,6580400,55.453599999999994,51.16279069767442,0.6600709676971381
2024-04-23,57.89,58.77,57.83,58.19,58.19,4001300,55.7846,51.22549019607842,0.6623691201750268
2024-04-24,57.78,58.03,55.7,55.9,55.9,8738500,56.022200000000005,41.75194433074089,0.22444524660621307
2024-04-25,55.21,56.78,54.95,56.61,56.61,5595300,56.288599999999995,45.175983436852995,0.3827247852197402
2024-04-26,55.8,56.67,55.34,55.75,55.75,5531400,56.49719999999999,33.23863636363636,0.0
2024-04-29,54.67,55.27,53.96,55.08,55.08,4100300,56.692400000000006,36.42968344577062,0.1261743474262681
2024-04-30,53.49,53.76,51.52,51.68,51.68,9484200,56.8174,27.71362586605082,0.0
2024-05-01,50.43,51.92,49.43,49.72,49.72,10785800,56.901399999999995,24.25806451612904,0.0
2024-05-02,51.36,52.15,50.92,51.93,51.93,6578200,57.0476,35.23339317773788,0.40698466334401123
2024-05-03,53.55,54.5,53.51,54.38,54.38,6741600,57.224,47.729379054680265,0.8703579947567055
2024-05-06,55.64,56.21,54.86,55.29,55.29,5373100,57.4348,50.90826521344233,0.9882367347035297
2024-05-07,55.61,56.31,54.93,55.16,55.16,3769500,57.583600000000004,54.52334630350195,1.0
2024-05-08,54.26,54.96,54.0,54.36,54.36,3043900,57.672200000000004,46.775039328788665,0.7439869541229256
2024-05-09,53.69,54.88,53.21,54.66,54.66,4555800,57.7086,45.54721030042918,0.7034180594737519
2024-05-10,55.0,55.25,52.61,53.05,53.05,7052500,57.68299999999999,35.87786259541984,0.38393160060180703
2024-05-13,54.95,55.56,54.73,55.26,55.26,4618300,57.6844,42.857142857142854,0.6145351122676017
2024-05-14,54.23,54.48,53.43,53.86,53.86,3528300,57.5762,44.801223241590215,0.6787697821479416
2024-05-15,56.28,58.19,55.96,57.85,57.85,11333900,57.6496,52.707423580786035,0.9399998078500117
2024-05-16,57.77,58.17,56.52,57.02,57.02,4932600,57.617399999999996,52.776563183209454,0.942284260474942
2024-05-17,58.11,59.12,57.61,58.79,58.79,5365900,57.6082,57.738840216937845,1.0
2024-05-20,58.65,61.45,58.42,61.42,61.42,8622500,57.622,70.99137931034484,1.0
2024-05-21,62.11,62.43,60.52,60.6,60.6,7238800,57.5722,74.66001813236629,1.0
2024-05-22,61.07,61.91,60.58,61.09,61.09,6111100,57.544000000000004,72.5172074729597,0.9447475100406627
2024-05-23,60.62,60.73,58.37,58.72,58.72,5591900,57.4304,60.71076011846001,0.6403176197718743
