Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-25,75.89,80.6,75.87,80.54,80.54,631000,61.0882,63.888888888888914,0.5613477876892549
2024-03-26,80.34,80.39,78.5,78.71,78.71,350900,61.67,54.110612855007474,0.2866269215782031
2024-03-27,81.17,81.27,77.44,77.75,77.75,455900,62.24099999999999,51.53046062407133,0.21413749162909004
2024-03-28,80.56,81.28,79.84,80.34,80.34,469500,62.8762,52.55962769051774,0.24305196150982003
2024-04-01,79.38,79.42,77.11,78.97,78.97,291300,63.52719999999999,45.7002457002457,0.05033748353592757
2024-04-02,73.46,75.0,73.05,74.61,74.61,399200,64.0752,41.184611126487674,0.0
2024-04-03,74.47,75.74,74.23,74.52,74.52,233000,64.652,36.93853427895981,0.0
2024-04-04,76.24,78.56,76.02,77.52,77.52,427400,65.3142,48.498122653316635,0.35004772005156826
2024-04-05,75.69,77.59,75.69,76.25,76.25,209800,65.94239999999999,46.91283292978208,0.37009897625419436
2024-04-08,81.72,81.72,80.61,81.21,81.21,276300,66.6654,57.666290868094706,0.7691088629126361
2024-04-09,80.04,80.3,77.17,78.06,78.06,256300,67.2756,57.278835386338194,0.754732225300092
2024-04-10,76.52,79.29,76.35,79.27,79.27,183300,67.8824,56.63540778630293,0.7308576748777308
2024-04-11,80.07,80.25,78.72,79.75,79.75,171700,68.4902,58.4478808705613,0.7981099656357387
2024-04-12,79.47,79.54,73.79,75.75,75.75,491600,69.0418,54.51388888888888,0.652138157894736
2024-04-15,75.02,75.29,70.55,71.68,71.68,246200,69.5004,36.712657468506286,0.0
2024-04-16,71.57,71.64,69.89,71.01,71.01,213800,69.947,38.036047234307034,0.060886872028912506
2024-04-17,70.62,71.24,67.47,69.02,69.02,308800,70.36619999999999,36.85636856368563,0.006611898691860416
2024-04-18,70.68,72.56,70.1,71.92,71.92,245000,70.8292,37.44033412887827,0.03347914336611711
2024-04-19,73.37,73.66,71.93,72.77,72.77,200200,71.2842,40.606060606060595,0.17912873797221687
2024-04-22,74.87,75.69,74.39,75.38,75.38,225300,71.76,51.232,0.6680098135140835
2024-04-23,74.92,75.99,74.88,75.28,75.28,97500,72.1882,51.215611004478575,0.667255784203307
2024-04-24,74.76,75.06,72.09,72.31,72.31,279300,72.496,41.65866154338778,0.22755708480152362
2024-04-25,71.42,73.46,71.2,73.26,73.26,162200,72.84140000000001,45.163377547719186,0.388803000682013
2024-04-26,72.23,73.26,71.67,72.13,72.13,107200,73.1112,33.23485967503693,0.0
2024-04-29,70.75,71.49,69.92,71.21,71.21,91800,73.364,36.21730382293761,0.11828983622280463
2024-04-30,69.23,69.5,66.7,66.83,66.83,350200,73.5246,27.801570306923637,0.0
2024-05-01,65.25,67.13,63.98,64.39,64.39,245500,73.6354,24.382921947965315,0.0
2024-05-02,66.44,67.42,65.97,67.19,67.19,113300,73.8262,35.128561501042384,0.40022378169751494
2024-05-03,69.39,70.5,69.31,70.37,70.37,175300,74.0546,47.651487988526355,0.8666430182617647
2024-05-06,72.04,72.7,70.97,71.49,71.49,88900,74.3272,50.84685956245588,0.9856553570741723
2024-05-07,71.96,72.78,71.19,71.39,71.39,84500,74.5204,54.48015122873347,1.0
2024-05-08,70.21,71.05,69.89,70.34,70.34,43700,74.635,46.78861788617886,0.7444438067437184
2024-05-09,69.48,70.89,68.9,70.59,70.59,76000,74.679,45.45833333333334,0.7002442380579869
2024-05-10,71.16,71.39,68.14,68.67,68.67,118000,74.648,35.60703560703561,0.3729284697393192
2024-05-13,71.07,71.81,70.82,71.48,71.48,118400,74.6486,42.69792467332822,0.6085278666188059
2024-05-14,70.16,70.39,69.17,69.69,69.69,70500,74.5076,44.726247987117546,0.6759202267217144
2024-05-15,72.79,75.25,72.44,74.78,74.78,217200,74.6004,52.62249827467218,0.9382782735004677
2024-05-16,74.74,75.18,73.14,73.79,73.79,85900,74.557,52.87794729542304,0.9467657332054077
2024-05-17,75.05,76.36,74.67,75.95,75.95,160900,74.5416,57.878989361702146,1.0
2024-05-20,75.87,79.43,75.61,79.38,79.38,125300,74.55760000000001,71.54136628904911,1.0
2024-05-21,80.32,80.68,78.3,78.31,78.31,181700,74.4884,75.07204610951011,1.0
2024-05-22,78.99,80.0,78.41,78.88,78.88,299900,74.4464,72.894633764199,0.9448267638196983
2024-05-23,78.47,78.53,75.49,75.94,75.94,175600,74.298,61.01225780941084,0.6437404140759646
