Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-01-12,13.2,13.2,12.38,12.47,12.47,171600,,,
2024-01-16,12.24,12.36,11.99,12.29,12.29,239100,,,
2024-01-17,12.17,12.18,12.0,12.16,12.16,63400,,,
2024-01-18,12.07,12.16,11.57,11.59,11.59,122400,,,
2024-01-19,11.7,11.96,11.45,11.82,11.82,277700,,,
2024-01-22,11.6,11.61,11.2,11.41,11.41,363700,,,
2024-01-23,11.03,11.23,10.94,11.12,11.12,70400,,,
2024-01-24,11.36,11.42,11.22,11.23,11.23,122000,,,
2024-01-25,11.37,11.39,11.24,11.31,11.31,47400,,,
2024-01-26,11.69,11.98,11.68,11.92,11.92,145400,,,
2024-01-29,11.93,12.29,11.86,12.25,12.25,295400,,,
2024-01-30,12.32,12.4,12.28,12.36,12.36,161300,,,
2024-01-31,12.12,12.4,12.05,12.06,12.06,121300,,,
2024-02-01,12.0,12.27,12.0,12.19,12.19,131600,,,
2024-02-02,12.11,12.32,12.09,12.18,12.18,261600,,45.84527220630371,
2024-02-05,12.29,12.31,11.99,12.02,12.02,153700,,46.10951008645534,
2024-02-06,12.15,12.31,12.15,12.22,12.22,223500,,50.84745762711865,
2024-02-07,12.24,12.56,12.19,12.52,12.52,294700,,64.22018348623854,
2024-02-08,12.8,12.95,12.77,12.91,12.91,154400,,65.88921282798833,
2024-02-09,13.34,13.69,13.3,13.48,13.48,354400,,78.83008356545962,
2024-02-12,13.69,14.31,13.69,14.25,14.25,313100,,88.45208845208847,
2024-02-13,13.92,14.05,13.73,14.02,14.02,109800,,83.29355608591887,
2024-02-14,14.7,14.78,14.54,14.68,14.68,162600,,85.32494758909854,
2024-02-15,14.91,15.0,14.65,14.69,14.69,296800,,83.21342925659474,
2024-02-16,14.84,14.87,14.66,14.72,14.72,95800,,81.9121447028424,
2024-02-20,14.85,14.85,14.39,14.76,14.76,345500,,81.57894736842107,
2024-02-21,14.46,14.59,14.37,14.46,14.46,241300,,81.57894736842107,
2024-02-22,14.51,14.77,14.47,14.75,14.75,210900,,82.32323232323233,0.8561531541455532
