Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-01-12,46.2,46.29,43.42,43.86,43.86,1040000,,,
2024-01-16,43.02,43.49,42.21,43.42,43.42,862100,,,
2024-01-17,42.72,42.91,42.29,42.81,42.81,908800,,,
2024-01-18,42.68,42.83,40.65,40.85,40.85,1648900,,,
2024-01-19,41.18,42.09,40.3,41.56,41.56,1742400,,,
2024-01-22,40.68,40.82,39.39,40.2,40.2,211000,,,
2024-01-23,38.84,39.59,38.56,39.17,39.17,123900,,,
2024-01-24,40.0,40.19,39.51,39.56,39.56,56900,,,
2024-01-25,40.04,40.06,39.52,39.78,39.78,152800,,,
2024-01-26,41.19,42.19,41.11,41.98,41.98,289100,,,
2024-01-29,42.02,43.31,41.8,43.15,43.15,332300,,,
2024-01-30,43.44,43.74,43.24,43.57,43.57,923300,,,
2024-01-31,42.69,43.74,42.49,42.49,42.49,316500,,,
2024-02-01,42.38,43.26,42.34,43.02,43.02,328800,,,
2024-02-02,42.72,43.46,42.67,42.95,42.95,552800,,46.26743232157507,
2024-02-05,43.44,43.44,42.28,42.39,42.39,273400,,45.81640942323314,
2024-02-06,42.97,43.39,42.84,43.13,43.13,368300,,51.28617363344052,
2024-02-07,43.18,44.28,42.92,44.18,44.18,495400,,64.44058976582826,
2024-02-08,45.13,45.62,45.0,45.59,45.59,392100,,66.47587898609976,
2024-02-09,47.03,48.27,46.86,47.59,47.59,827000,,78.7101787101787,
2024-02-12,48.27,50.42,48.19,50.27,50.27,661000,,88.22314049586777,
2024-02-13,49.13,49.53,48.43,49.49,49.49,152600,,83.29979879275653,
2024-02-14,51.87,52.15,51.33,51.79,51.79,1078200,,85.34432018834607,
2024-02-15,52.56,52.9,51.74,51.83,51.83,170500,,83.20971004720161,
2024-02-16,52.33,52.5,51.64,51.95,51.95,218700,,81.93033381712627,
2024-02-20,52.36,52.4,50.79,52.01,52.01,595300,,81.44560357675111,
2024-02-21,50.97,51.46,50.7,51.0,51.0,647000,,81.87265917602996,
2024-02-22,51.16,52.14,51.05,52.04,52.04,253900,,82.53968253968253,0.8659774565870083
2024-02-23,51.26,51.35,50.64,51.13,51.13,397700,,77.82312925170069,0.7547556489003162
2024-02-26,51.46,55.0,51.44,54.52,54.52,1105600,,84.59783228750715,0.9018514914377463
2024-02-27,56.98,57.68,56.31,57.1,57.1,743900,,86.060918946825,0.909083698650049
