Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-03-25,59.72,63.45,59.72,63.34,63.34,24626200,48.0692,63.84431546602937,0.5596565262374344
2024-03-26,63.16,63.3,61.79,61.93,61.93,12545900,48.5362,54.07577497129736,0.28491008137539875
2024-03-27,63.85,64.01,60.96,61.19,61.19,16148900,48.993599999999994,51.411136536994654,0.20996542233833804
2024-03-28,63.38,64.01,62.87,63.17,63.17,11908000,49.4982,52.373831775700936,0.23704184122228475
2024-04-01,62.48,62.57,60.71,62.18,62.18,12971800,50.01599999999999,45.77409162717221,0.051419931398666234
2024-04-02,57.86,59.12,57.52,58.7,58.7,10434000,50.4498,41.17229129662523,0.0
2024-04-03,58.59,59.67,58.4,58.64,58.64,8187700,50.9062,36.80608365019014,0.0
2024-04-04,59.96,61.84,59.82,61.04,61.04,13756400,51.429399999999994,48.475120385232756,0.3522264402180126
2024-04-05,59.65,61.14,59.55,59.99,59.99,9240400,51.9238,46.87621265036865,0.37244036772698064
2024-04-08,64.3,64.35,63.45,63.96,63.96,10865600,52.49419999999999,57.9004329004329,0.7801674826193887
2024-04-09,62.93,63.25,60.78,61.45,61.45,11029500,52.973,57.19885958660015,0.7542200272306174
2024-04-10,60.27,62.47,60.09,62.47,62.47,10082500,53.45219999999999,56.70511896178803,0.7359591946371605
2024-04-11,63.06,63.18,61.94,62.79,62.79,10317700,53.9306,58.53391684901532,0.8035966755080791
2024-04-12,62.49,62.64,58.04,59.55,59.55,19721300,54.3618,54.35150694209279,0.6489116378395864
2024-04-15,58.97,59.28,55.51,56.38,56.38,13765600,54.721199999999996,36.7881548974943,0.0
2024-04-16,56.31,56.45,54.95,55.88,55.88,9462400,55.07200000000001,38.10460086511994,0.06053804739334785
2024-04-17,55.58,56.12,53.11,54.31,54.31,14071000,55.4014,36.9002284843869,0.005153812827642032
2024-04-18,55.68,57.19,55.12,56.58,56.58,9905300,55.763600000000004,37.58945386064029,0.03684851167470549
2024-04-19,57.66,58.03,56.62,57.31,57.31,8709900,56.1212,40.73792316470141,0.18163393290207688
2024-04-22,58.86,59.58,58.51,59.26,59.26,7510600,56.492799999999995,51.130856219709194,0.6595630612617686
2024-04-23,58.94,59.83,58.87,59.21,59.21,3786100,56.8274,51.15151515151515,0.6605130823211368
2024-04-24,58.77,59.07,56.71,56.9,56.9,9131900,57.0682,41.605839416058394,0.22154590532649132
2024-04-25,56.24,57.81,55.96,57.6,57.6,8341900,57.337999999999994,45.08432743726861,0.3815075580367986
2024-04-26,56.73,57.68,56.34,56.74,56.74,6666600,57.54900000000001,32.97169811320755,0.0
2024-04-29,55.65,56.27,54.92,56.06,56.06,4614100,57.7466,36.086732059886415,0.12186085953154364
2024-04-30,54.44,54.72,52.43,52.51,52.51,11988800,57.87120000000001,27.260273972602732,0.0
2024-05-01,51.32,52.86,50.34,50.64,50.64,13631100,57.955799999999996,24.093816631130068,0.0
2024-05-02,52.27,53.08,51.83,52.86,52.86,5799600,58.1034,35.086937137761936,0.40628438883483486
2024-05-03,54.54,55.46,54.5,55.32,55.32,6283100,58.28099999999999,47.559852670349905,0.8672591285449015
2024-05-06,56.57,57.19,55.82,56.24,56.24,6853600,58.49400000000001,50.8130081300813,0.9874894377591347
2024-05-07,56.59,57.28,55.89,56.11,56.11,5230300,58.6436,54.347826086956516,1.0
2024-05-08,55.16,55.92,54.96,55.3,55.3,4167100,58.732600000000005,46.67359667359668,0.7463400867721385
2024-05-09,54.57,55.82,54.14,55.57,55.57,6515600,58.76740000000001,45.36741214057508,0.7031661552332875
2024-05-10,55.87,56.18,53.52,53.99,53.99,7842200,58.740199999999994,35.6871265616513,0.3831991243160182
2024-05-13,55.91,56.49,55.67,56.19,56.19,2943600,58.7384,42.655642023346296,0.6135327424723043
2024-05-14,55.14,55.42,54.35,54.78,54.78,3738100,58.6264,44.60834181078333,0.6780762467072768
2024-05-15,57.19,59.2,56.92,58.82,58.82,8231500,58.6982,52.65217391304348,0.943952811398805
2024-05-16,58.78,59.16,57.48,58.02,58.02,4032700,58.662600000000005,52.78988666085441,0.9485046956048309
2024-05-17,59.06,60.13,58.6,59.73,59.73,5512700,58.648199999999996,57.65540258656653,1.0
2024-05-20,59.64,62.49,59.4,62.4,62.4,7255400,58.658199999999994,71.41619748809009,1.0
2024-05-21,63.11,63.45,61.51,61.6,61.6,6500600,58.6038,74.88646684831973,1.0
2024-05-22,62.05,62.92,61.57,61.95,61.95,4099200,58.5694,72.5558312655087,0.9405440100326466
2024-05-23,61.65,61.71,59.31,59.7,59.7,4776400,58.451800000000006,60.98294884653963,0.6453124491355626
