Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,Stock RSI
2024-01-12,52.65,52.68,49.26,49.62,49.62,331100,,,
2024-01-16,49.05,49.35,47.95,49.2,49.2,175400,,,
2024-01-17,48.42,48.82,48.11,48.58,48.58,131800,,,
2024-01-18,48.4,48.55,46.23,46.42,46.42,220600,,,
2024-01-19,46.82,47.9,45.75,47.21,47.21,200300,,,
2024-01-22,46.24,46.39,45.0,45.68,45.68,133200,,,
2024-01-23,44.3,44.93,43.77,44.41,44.41,171700,,,
2024-01-24,45.43,45.58,44.84,44.84,44.84,47900,,,
2024-01-25,45.35,45.43,44.78,45.06,45.06,100400,,,
2024-01-26,46.7,47.75,46.66,47.55,47.55,82300,,,
2024-01-29,47.56,49.02,47.33,48.93,48.93,343100,,,
2024-01-30,49.19,49.54,48.99,49.36,49.36,55100,,,
2024-01-31,48.41,49.53,48.11,48.17,48.17,167400,,,
2024-02-01,48.0,48.98,47.96,48.75,48.75,94400,,,
2024-02-02,48.37,49.2,48.35,48.68,48.68,120800,,46.539027982326964,
2024-02-05,49.17,49.17,47.87,48.06,48.06,126900,,45.86357039187228,
2024-02-06,48.59,49.13,48.51,48.77,48.77,202100,,50.68493150684933,
2024-02-07,48.86,50.15,48.62,50.02,50.02,386300,,63.8888888888889,
2024-02-08,51.05,51.66,50.87,51.59,51.59,183300,,65.93886462882097,
2024-02-09,53.3,54.62,53.02,53.87,53.87,198300,,78.26086956521739,
2024-02-12,54.62,57.06,54.62,56.92,56.92,168700,,88.44499078057777,
2024-02-13,55.57,56.07,54.75,55.99,55.99,108800,,83.2438878950507,
2024-02-14,58.7,58.99,58.12,58.64,58.64,119000,,85.36458333333334,
2024-02-15,59.49,59.93,58.51,58.57,58.57,142300,,82.8367103694875,
2024-02-16,59.26,59.28,58.44,58.8,58.8,104600,,81.573896353167,
2024-02-20,59.23,59.31,57.48,58.85,58.85,6816000,,81.11475409836068,
2024-02-21,57.67,58.24,57.38,57.65,57.65,301100,,81.0615989515072,
2024-02-22,57.89,58.99,57.76,58.95,58.95,542900,,81.91489361702128,0.8466444495287769
2024-02-23,58.03,58.08,57.31,57.86,57.86,126000,,76.99999999999999,0.7312210190242149
2024-02-26,58.19,62.22,58.19,61.73,61.73,390800,,83.75308641975306,0.8757442532912256
2024-02-27,64.49,65.23,63.76,64.61,64.61,303400,,85.32560214094556,0.8729688998119047
2024-02-28,68.24,72.79,66.93,68.39,68.39,770200,,86.813627254509,0.9275146902195149
